Subject,AverageStudyTime,AverageBreakTime,PredictedGrade,PredictedKnowledgeLevel
Science,106,18,74,4
English,64,17,71,4
English,46,29,81,2
English,46,16,62,5
History,73,8,75,1
English,59,23,90,3
History,90,20,79,1
History,92,9,63,4
Math,88,8,68,2
Math,116,5,96,4
History,108,23,94,3
Science,34,15,100,2
Math,34,7,72,2
Science,76,27,85,2
Math,68,24,88,1
History,90,9,99,3
Math,104,18,80,3
Science,105,19,64,4
English,70,25,81,4
Science,60,16,87,5
History,52,16,68,5
Science,50,22,74,5
Science,115,11,100,2
History,69,16,68,3
English,61,25,97,5
Math,64,27,88,5
Math,49,19,63,3
Science,103,5,73,5
Science,48,15,83,4
Math,86,19,73,5
History,114,8,91,4
Science,87,16,73,2
English,118,17,74,5
Math,106,7,64,3
Science,105,21,79,2
History,76,7,65,1
English,43,19,71,5
Math,58,28,97,2
History,110,27,71,5
Science,31,12,83,3
Math,54,27,85,1
Science,87,27,99,3
History,108,19,72,1
Math,41,26,65,4
Science,108,26,85,3
Math,106,26,76,1
Math,33,23,71,1
History,91,17,100,4
Science,83,19,88,2
History,53,14,62,1
History,49,23,86,5
Science,109,22,67,2
Math,86,7,83,4
History,88,21,68,5
Science,94,20,67,1
English,89,21,70,5
Math,107,11,83,5
History,70,16,76,3
English,45,22,66,5
English,83,16,84,5
English,120,9,90,1
Science,69,27,72,5
History,55,25,78,1
History,71,6,68,5
Math,69,17,64,2
Science,68,8,73,1
History,90,14,90,3
English,75,17,63,3
Math,58,8,88,1
Science,42,6,65,3
English,115,26,98,5
Math,74,23,68,4
Science,38,19,100,4
Science,98,10,95,2
Math,102,13,97,3
Math,58,7,87,1
Math,100,20,90,1
History,39,27,82,4
Science,98,5,69,1
English,85,23,83,4
Science,114,10,96,1
Math,32,28,96,1
Math,112,20,69,5
Math,108,26,61,3
Math,46,26,65,1
English,115,14,91,3
History,32,14,84,3
English,83,27,93,2
English,103,24,80,3
History,119,30,92,4
Math,33,9,76,3
Science,59,23,83,2
History,110,10,79,2
Math,84,13,68,3
English,78,18,71,5
Math,54,20,65,1
Science,108,16,60,3
English,76,23,70,3
Math,112,14,70,4
Math,80,14,67,1
Math,50,15,93,4
History,111,7,80,4
English,52,23,88,3
Science,98,14,65,5
Math,43,8,85,4
History,69,17,100,4
English,58,28,61,5
Math,113,21,70,4
Math,36,26,94,1
Science,71,14,97,4
English,108,6,87,1
Science,94,17,60,1
Science,60,9,62,1
Science,110,11,73,4
Science,52,25,74,1
Science,53,24,87,3
Science,75,21,82,1
History,67,25,91,4
Science,49,30,88,5
Math,101,10,95,5
History,64,13,62,3
Math,79,15,77,3
History,88,16,87,3
Math,39,11,80,1
Math,68,13,95,5
History,103,10,98,1
Science,49,8,95,3
Science,35,12,61,4
Science,54,16,63,5
Science,36,24,75,3
Math,83,21,82,2
English,30,9,70,3
Science,37,12,96,1
Math,35,16,60,2
Science,41,18,88,3
Science,30,12,99,2
English,84,24,74,2
English,72,13,78,3
History,49,7,78,4
English,36,7,90,1
Math,96,15,85,5
English,65,5,98,4
History,86,16,89,2
English,100,14,61,3
Math,87,17,70,4
History,120,21,69,1
Math,68,8,60,5
History,72,25,90,3
English,72,9,89,3
English,46,8,96,2
Math,76,28,87,4
English,113,16,77,2
History,80,19,66,3
History,37,15,61,2
History,78,6,88,3
Math,78,11,73,1
English,96,17,77,3
Science,31,7,71,1
History,110,8,65,5
Math,62,16,95,4
Math,55,13,78,2
History,101,14,62,3
History,113,30,87,2
History,41,20,84,4
History,82,8,66,1
Science,32,9,98,1
Science,119,16,93,4
Math,81,9,99,1
English,81,20,95,1
Science,70,7,88,3
Science,85,25,85,1
English,114,20,83,2
English,31,29,67,2
Science,56,15,98,1
Science,92,13,92,4
English,43,21,78,2
English,101,8,87,5
English,57,29,98,3
History,33,28,70,2
English,49,17,61,4
English,87,7,93,2
English,118,28,72,1
Math,55,28,93,2
English,30,23,75,3
Math,108,19,71,3
Math,35,11,61,5
Math,120,12,91,5
Math,64,7,92,5
Science,44,26,66,4
History,49,19,81,4
Math,51,8,79,2
History,39,12,64,5
Science,43,6,92,4
History,83,26,77,4
Science,80,26,61,2
Math,75,9,86,2
History,43,8,87,2
Science,102,5,97,5
History,66,27,77,5
History,112,13,73,1
History,110,28,85,2
Math,70,16,90,3
Math,72,15,76,4
Math,120,5,71,3
Math,41,27,75,2
Science,68,27,68,4
Math,82,19,91,3
Science,51,15,91,3
History,65,10,81,4
English,48,10,92,5
Science,101,9,72,2
History,37,19,72,2
History,67,14,69,2
History,60,20,70,2
History,85,26,95,3
Science,88,5,82,3
Math,39,30,63,2
Science,85,5,71,3
Science,94,11,73,1
English,62,24,90,3
Math,84,16,94,1
History,72,30,92,4
English,60,5,75,3
History,95,24,74,5
History,78,5,83,4
History,75,20,70,1
Science,86,18,85,1
Science,47,20,72,4
Science,75,29,98,2
English,53,9,73,4
History,106,13,79,1
Science,85,10,71,5
Math,96,27,98,4
Math,100,11,69,3
Science,103,20,66,4
History,87,18,96,3
History,45,14,75,5
Math,46,16,80,2
Math,69,21,96,3
History,118,19,69,2
English,56,21,64,1
Science,114,14,79,4
English,65,20,60,4
History,110,21,67,2
Math,48,17,67,3
Science,69,20,61,5
Science,42,20,83,5
History,73,18,66,4
Science,112,12,89,1
Science,87,9,78,3
English,115,6,87,2
Science,86,29,91,1
History,79,8,95,2
History,81,24,64,3
Science,82,23,75,4
English,110,27,72,3
Science,57,7,75,2
Math,99,17,74,1
English,100,12,86,5
Math,42,30,90,4
Science,93,15,94,1
English,65,13,100,3
Math,50,27,71,5
History,91,19,64,1
History,92,25,89,1
Science,79,9,66,1
Science,31,30,95,5
Science,46,30,82,4
English,120,17,69,1
Science,47,16,69,2
English,43,17,89,3
History,34,14,87,4
English,46,18,90,3
English,38,5,60,2
English,45,26,97,1
History,92,9,66,1
Math,69,23,99,4
English,30,15,78,4
Science,37,25,78,4
History,87,23,99,5
Math,45,25,71,2
Science,36,21,95,5
Math,64,15,94,3
Math,119,21,82,4
Math,112,9,99,4
English,109,19,99,5
History,58,28,60,4
English,115,28,75,3
English,75,10,61,5
English,96,29,84,3
History,89,30,74,4
Math,45,24,87,5
English,46,5,97,1
History,35,10,96,2
Science,83,9,89,4
Science,102,9,88,1
Math,86,14,74,3
Math,112,25,80,3
Math,106,26,73,1
Math,52,10,63,1
Science,48,30,70,3
History,51,25,62,2
Science,93,27,72,1
English,48,16,61,5
Science,61,24,90,5
History,75,21,80,1
English,59,13,61,1
Math,93,24,87,3
English,51,8,67,4
Math,43,12,62,2
History,54,21,82,4
English,88,29,81,2
History,99,20,62,4
English,76,18,92,3
History,61,19,65,1
English,65,13,68,3
English,53,22,93,5
Math,54,27,72,3
Science,57,25,89,1
English,75,27,62,5
Math,66,23,61,1
History,41,25,75,1
Science,120,9,70,1
Science,34,15,75,2
Math,118,19,62,2
History,57,19,85,3
English,36,5,66,4
Math,106,30,74,3
English,81,27,90,5
English,102,10,77,2
Math,83,20,75,3
History,34,13,86,4
Math,106,10,71,3
Math,80,18,72,3
Math,37,5,80,1
Science,78,18,66,4
English,35,29,66,1
History,33,9,63,3
Math,70,15,81,2
English,69,28,81,1
History,95,8,71,2
Math,47,21,76,5
Science,48,16,93,4
History,32,23,81,5
Science,47,6,98,5
History,55,7,81,4
Math,108,9,67,2
Science,33,6,81,3
History,49,28,88,4
History,84,16,65,4
Science,116,23,72,3
History,36,13,85,3
Science,82,16,72,5
History,112,11,81,1
Math,59,5,60,5
English,67,22,88,2
Math,113,18,74,1
English,65,20,91,3
English,113,27,96,1
English,83,15,60,1
History,108,12,60,5
English,79,14,65,3
Math,98,30,97,4
History,34,19,75,1
History,101,24,93,3
English,77,7,93,2
Science,98,12,89,1
History,86,26,98,4
Math,40,26,63,1
Science,73,16,94,1
Science,44,10,64,2
English,113,22,61,3
History,33,22,90,4
Science,42,12,92,1
English,106,6,66,1
Math,59,9,86,3
History,75,14,91,5
Math,52,14,65,3
Science,67,18,75,1
Science,77,24,80,5
Math,98,18,100,4
Science,70,18,77,1
History,115,18,88,5
Science,65,20,66,4
Math,46,12,83,5
Math,36,14,87,1
History,85,27,98,4
History,42,15,92,1
Science,62,16,60,2
English,82,16,66,4
History,40,16,63,2
Math,44,24,98,2
English,37,10,80,2
History,36,9,83,1
Math,74,23,89,2
Science,51,20,79,5
Math,81,15,84,5
Math,109,13,83,2
Science,100,18,63,1
Science,63,18,93,1
English,83,30,86,4
History,38,22,66,5
English,90,9,96,4
History,33,8,73,5
Science,80,14,71,3
History,118,30,96,2
Math,93,22,68,1
Science,70,6,94,4
History,77,7,69,3
History,57,28,68,3
English,59,27,83,5
Math,40,15,86,5
History,56,18,84,1
Science,42,23,71,5
English,94,11,96,4
English,75,25,76,2
Math,68,20,90,1
Science,35,28,76,4
Science,100,18,80,1
History,30,10,76,4
Math,111,20,95,4
History,72,13,70,1
Science,96,25,67,2
Math,74,22,80,4
Science,113,10,79,2
Math,32,17,85,5
Science,36,12,86,4
History,58,21,63,3
Science,94,12,67,2
Math,48,28,94,5
Science,98,20,90,1
English,77,26,69,2
Math,117,29,72,2
Science,32,30,64,2
Math,94,9,76,1
English,47,23,69,5
History,109,24,61,3
History,41,27,98,5
Science,63,30,85,2
Science,103,9,75,5
English,49,7,65,4
History,95,7,72,2
History,94,5,77,1
History,51,21,78,5
Math,34,15,100,4
English,40,7,98,2
Math,64,25,87,5
Math,92,27,74,3
English,100,13,62,5
History,105,29,60,3
Math,47,25,86,2
History,46,8,80,4
History,112,20,96,1
Math,117,21,83,1
History,97,9,67,4
History,82,12,74,3
Science,66,11,75,3
English,73,8,89,3
Science,31,30,73,3
History,36,28,95,3
Math,74,7,61,4
English,98,15,79,4
English,32,14,63,5
English,84,22,86,3
Science,113,29,73,1
History,70,26,89,3
History,94,26,83,5
Science,114,13,100,4
History,117,16,85,1
English,95,8,86,2
History,76,14,98,5
English,109,26,66,5
Science,60,16,77,1
History,110,29,96,4
English,68,6,65,5
Math,34,20,82,3
Math,93,18,70,1
English,110,6,83,4
Science,93,20,82,5
English,61,30,75,5
English,87,9,63,1
Math,38,30,60,5
Science,61,7,72,5
Science,93,12,91,3
Science,105,5,86,2
History,77,23,78,2
History,31,18,92,5
English,46,23,81,5
Science,81,25,66,3
English,97,17,70,1
Math,47,5,64,3
Science,63,27,71,5
Math,51,8,95,1
History,68,17,98,5
Science,89,24,83,2
Math,42,19,76,4
Science,74,18,69,4
Science,97,5,89,1
Math,96,25,97,4
Science,72,14,83,3
History,40,9,92,2
Math,88,26,93,5
History,30,11,98,1
History,54,22,96,1
Science,84,17,92,4
Math,70,25,89,4
History,59,17,62,4
English,108,16,96,3
History,56,19,68,4
History,63,6,74,3
Math,84,7,90,2
Science,96,11,66,4
Science,72,26,77,2
History,30,9,62,3
Math,38,24,79,4
Math,109,13,61,1
Math,90,5,62,5
History,84,8,61,5
Science,102,28,84,3
Math,50,17,86,2
Science,58,16,82,3
Science,30,17,67,3
History,67,28,98,2
Math,56,26,100,2
History,35,22,83,3
Science,47,27,72,2
History,43,24,88,2
English,105,12,72,1
History,90,6,63,4
English,80,24,94,2
Math,90,17,60,1
Science,56,23,73,3
English,111,9,93,2
Math,74,21,78,2
Math,47,21,80,4
Math,49,7,90,2
History,32,6,75,3
Science,47,20,74,5
English,108,11,71,3
Science,107,20,98,5
Math,106,27,77,5
Science,94,9,84,4
Science,117,18,83,4
English,64,14,96,5
Science,44,5,64,5
Science,107,22,68,2
English,107,9,99,4
Math,36,11,81,2
History,83,30,84,2
Science,119,18,88,1
Math,71,28,72,1
Science,120,6,72,3
History,85,9,63,3
English,109,9,61,4
English,48,11,73,3
English,42,8,96,2
English,81,12,86,1
History,97,10,66,1
Math,53,30,69,4
Science,68,17,85,2
History,81,12,85,1
Science,98,26,61,3
Science,68,12,88,2
History,33,28,69,1
History,41,10,81,2
English,108,22,88,5
History,38,24,74,2
Science,62,7,74,4
History,77,20,83,2
English,80,25,64,2
History,49,12,82,4
Math,50,11,66,5
History,44,8,82,1
Math,75,8,74,1
History,45,16,69,3
Science,109,26,84,1
Science,46,22,96,4
Science,56,13,60,3
Math,73,21,97,3
English,104,20,86,5
Math,116,11,76,3
History,60,27,83,2
Science,63,9,78,1
English,103,21,80,4
Science,34,10,77,2
Science,106,11,79,4
English,68,14,70,1
Science,40,13,61,3
Science,63,10,99,2
Math,85,16,64,3
English,46,15,91,5
Science,35,12,85,5
Science,53,11,79,5
English,94,27,81,2
History,96,14,67,2
Math,44,20,90,5
Math,63,23,100,2
Math,92,23,96,4
History,31,27,71,5
English,47,5,65,4
Science,43,16,94,5
English,50,7,93,4
Math,37,24,95,1
History,67,13,73,1
History,68,28,91,5
English,90,19,69,5
History,62,27,99,5
History,67,18,88,5
Science,86,18,68,1
English,70,29,74,2
History,102,27,69,4
Math,46,18,98,1
English,42,26,99,5
History,80,23,64,4
Science,86,16,76,1
English,63,27,66,3
Science,81,26,87,3
History,108,12,92,5
English,88,6,100,4
Science,37,30,93,2
Math,83,23,85,5
Math,75,23,61,3
Science,115,17,80,5
Science,42,22,71,2
Math,76,6,74,4
History,69,12,86,3
Science,82,26,72,2
History,60,29,83,3
History,60,21,65,4
History,31,15,86,2
Science,53,12,96,3
English,101,23,67,2
History,64,18,89,1
History,52,27,90,2
Math,106,15,98,1
History,89,25,71,2
History,114,24,63,2
Science,57,12,67,4
English,107,29,86,5
Math,62,20,87,2
History,110,7,78,4
Science,87,7,80,3
English,106,27,64,3
History,119,21,94,2
Math,110,28,83,1
English,111,28,66,3
History,101,28,84,5
Math,54,15,86,1
Math,105,30,79,3
Math,81,28,80,5
English,39,23,66,5
Science,75,17,77,3
Math,89,24,96,2
English,111,26,82,5
History,37,15,75,2
Math,75,14,94,4
History,69,30,100,5
Math,38,9,83,5
English,106,26,81,2
Math,110,29,98,1
Math,76,12,100,1
English,69,12,74,5
History,61,7,95,1
English,80,26,86,5
Science,80,25,68,4
Math,99,13,80,3
Math,46,26,83,4
History,82,22,88,3
English,61,24,86,3
History,32,13,93,2
Science,90,19,60,1
Math,111,8,80,2
History,69,21,77,3
English,115,9,61,1
Science,100,15,61,4
History,109,18,92,5
English,30,5,84,3
Science,63,9,84,4
English,117,15,93,4
English,67,14,84,3
Science,46,22,63,5
History,97,25,95,1
English,46,18,79,5
English,87,27,99,4
Math,51,26,96,4
Math,105,17,63,1
History,43,8,95,3
English,76,8,96,5
History,89,18,86,5
English,102,23,77,1
Science,68,20,76,5
Science,74,18,73,3
Math,91,6,73,4
Science,34,22,87,1
Math,86,15,70,1
Science,54,16,84,3
English,30,24,77,4
Math,31,16,65,5
Science,54,19,98,4
English,120,26,98,4
Science,39,6,90,4
Math,38,15,62,1
English,111,25,82,3
English,70,6,100,2
Math,92,21,88,1
Math,46,24,71,5
History,93,10,92,5
Science,59,16,66,2
English,58,30,98,5
Science,83,30,80,5
Science,43,27,88,1
Math,80,9,73,2
English,115,28,61,4
History,117,28,70,4
Math,86,28,78,4
Science,90,19,66,5
English,109,22,97,5
History,54,7,80,2
Science,107,16,68,2
History,111,15,82,3
English,58,8,65,2
History,67,28,85,3
History,58,7,78,3
Math,104,11,67,2
History,90,9,96,2
Science,114,14,71,5
English,79,25,73,4
Math,116,9,96,3
English,71,7,67,1
English,109,11,96,4
English,30,27,68,4
History,37,30,95,3
English,84,24,84,2
Science,96,17,91,1
Science,115,5,78,2
Math,73,11,92,5
History,110,22,100,1
History,46,18,100,5
English,38,24,82,1
English,115,20,74,4
English,36,26,61,5
Science,47,20,99,2
Science,57,10,77,2
History,59,8,68,4
Math,114,8,65,1
Math,36,15,83,2
Math,59,22,85,4
Math,83,16,70,1
Math,54,11,97,2
Math,46,10,99,5
Math,85,6,60,5
Math,66,23,67,5
History,109,20,90,5
Science,105,27,96,3
Math,38,27,77,1
English,116,21,99,4
History,73,6,68,4
Math,47,11,69,2
Science,73,24,63,1
Math,120,8,75,1
Math,112,12,100,5
Math,108,29,68,4
English,57,29,98,5
Science,79,10,89,5
Science,118,23,82,5
History,50,25,96,1
English,100,9,64,3
Science,49,9,78,2
History,106,9,81,5
Math,100,14,64,1
English,48,8,75,5
Math,118,6,71,3
Science,48,14,89,5
History,36,11,97,1
Math,86,14,61,5
Math,63,22,91,5
History,42,14,96,4
History,103,21,65,4
Science,54,18,79,1
English,67,7,84,4
English,34,11,65,1
Science,109,21,66,2
English,102,27,99,4
History,69,11,88,2
English,80,25,80,1
Science,109,5,97,4
History,39,5,76,4
English,68,29,95,1
History,84,22,73,2
History,109,27,97,3
English,70,27,77,4
History,37,23,68,1
Science,83,18,63,4
Science,30,29,61,5
History,61,11,97,1
History,62,6,72,4
Science,81,24,86,5
English,95,9,96,5
English,117,13,77,4
Science,94,11,71,4
Math,48,7,87,3
Science,79,5,75,5
Science,77,8,95,1
History,103,28,61,2
Math,117,30,67,2
English,53,10,62,3
Science,91,15,78,2
English,94,21,83,2
History,84,16,92,4
Science,84,22,71,1
Science,63,17,73,3
Science,70,11,69,4
English,106,11,61,1
Science,50,9,96,3
Math,116,22,89,5
History,40,19,97,1
Science,45,9,85,4
Math,100,20,70,1
Science,85,30,67,3
Science,51,18,94,5
History,115,20,75,5
English,46,8,68,3
English,89,17,88,3
Science,61,17,75,4
English,71,24,63,3
History,92,7,88,3
Science,47,7,86,3
Science,49,20,95,2
History,116,9,68,3
English,66,26,66,3
Science,32,29,99,4
History,70,11,72,1
History,92,8,74,1
Math,105,25,65,2
Math,47,28,94,5
Math,59,10,72,5
Science,65,17,66,5
History,120,28,61,1
English,107,5,82,4
Math,30,14,87,4
Science,31,9,94,5
History,65,10,80,5
Science,97,9,60,3
Math,62,14,65,5
Science,42,28,87,4
Math,117,10,100,2
English,113,9,75,1
Math,81,16,65,2
English,107,16,78,2
English,75,28,61,2
English,113,21,98,5
Math,55,11,67,5
Math,92,29,65,5
Science,60,24,85,2
Science,36,26,86,3
Science,67,21,87,4
History,54,21,100,3
Math,105,6,89,5
History,106,22,91,1
Math,107,29,76,2
History,85,22,71,3
English,77,10,63,3
Math,41,14,84,5
History,99,19,79,2
Math,110,16,71,1
Math,117,15,95,4
History,66,22,76,4
Math,30,21,97,3
Science,47,8,68,4
English,101,24,89,5
English,68,12,62,4
History,43,7,88,2
Math,85,10,74,5
English,41,5,97,5
History,105,28,84,4
English,104,20,99,5
English,38,6,85,5
History,111,7,86,1
History,70,28,82,1
History,117,30,71,3
Science,57,30,99,3
Science,48,15,94,3
Science,103,5,92,5
History,109,14,83,4
Science,36,13,95,1
Math,51,12,62,1
Math,70,18,88,1
Science,106,27,72,2
History,118,18,96,5
History,52,23,68,4
History,101,6,61,2
History,79,7,87,5
English,53,23,65,4
English,104,14,87,4
Science,109,8,94,1
Science,70,25,76,3
Science,42,13,100,4
English,86,5,95,4
Science,67,22,71,4
Math,47,12,69,1
Math,71,23,60,5
Science,73,14,96,3
English,94,18,96,4
History,80,24,70,2
Science,58,6,98,1
History,107,25,100,1
English,60,17,92,1
Math,112,22,82,4
Math,87,30,66,5
Math,83,27,63,2
English,37,13,65,1
Math,32,10,96,1
English,38,23,91,1
History,92,8,93,1
English,48,28,83,2
English,112,24,73,5
Math,59,7,97,3
English,71,13,89,5
Math,43,14,72,5
English,41,7,70,1
Math,64,24,64,5
Science,31,7,89,2
English,72,23,75,5
English,76,8,83,2
Science,59,30,99,1
Science,103,19,88,5
History,81,20,80,4
English,75,5,91,2
Math,113,17,60,4
English,96,18,60,4
English,105,15,79,2
English,58,28,86,4
History,49,28,75,3
Science,80,14,75,2
English,95,8,73,5
Science,80,28,78,4
Science,81,28,98,4
History,114,5,63,4
History,98,19,80,1
Science,93,14,90,1
Science,88,17,81,2
Math,103,17,80,4
History,44,22,83,2
Math,44,6,97,5
English,38,8,92,4
History,63,30,65,4
History,73,26,66,5
English,79,7,75,1
Math,51,27,72,1
Science,46,19,66,2
Science,62,18,100,4
Science,68,28,98,4
Science,92,23,62,5
Science,55,23,96,1
Math,86,16,86,4
Science,57,25,97,2
Science,97,19,91,4
History,59,8,64,1
English,59,25,62,1
Science,42,12,80,5
Math,44,26,66,1
English,44,8,91,1
Math,59,20,100,5
History,36,19,68,2
Math,78,21,89,3
English,102,10,98,1
Math,101,8,91,4
Math,82,28,99,5
History,52,7,89,4
Math,52,28,76,3
English,88,11,68,3
Math,88,25,65,2
English,74,5,70,1
Math,75,28,89,2
English,81,17,94,3
Math,36,29,98,5
Science,102,27,72,4
Science,98,25,69,2
History,64,20,81,1
History,75,10,67,1
History,105,28,97,3
English,83,27,82,2
English,118,29,68,3
Science,49,20,65,1
History,68,17,93,5
Science,109,21,78,2
English,75,23,77,2
History,102,29,94,3
Science,85,6,98,4
History,106,28,70,2
History,38,17,66,4
Science,98,11,68,3
Science,119,11,71,1
English,68,20,92,2
English,62,11,77,1
English,107,27,84,2
Science,45,15,93,1
Math,95,12,71,2
English,63,12,86,3
Math,77,23,90,5
History,51,13,100,3
Math,80,7,83,1
Math,51,9,90,2
Math,86,28,70,1
History,62,21,94,4
Science,66,12,88,2
History,38,22,99,2
Science,91,18,100,2
Science,48,18,95,4
Math,83,5,86,5
Math,111,15,85,5
Science,72,25,73,3
History,46,5,70,3
Math,47,7,61,3
History,96,28,73,4
English,46,29,95,5
Math,36,8,73,5
Science,35,13,61,3
Science,45,22,69,1
Math,54,16,79,1
English,46,25,96,5
History,96,16,68,3
Math,82,30,81,1
History,115,28,65,1
Math,38,28,95,3
English,34,12,92,4
Science,64,14,95,3
Math,34,11,82,5
English,44,7,86,1
Science,107,15,91,2
History,40,7,77,4
Math,34,28,90,3
Science,95,14,67,5
Math,67,17,94,1
History,71,21,60,5
English,72,14,80,5
English,101,20,62,2
History,94,11,85,2
Math,47,25,93,3
History,79,30,78,2
Math,112,30,71,1
Science,69,17,63,2
English,37,19,71,3
Science,107,17,78,5
History,54,25,92,4
History,115,19,87,5
Science,91,11,84,5
English,48,28,85,1
English,80,26,96,1
English,59,26,93,2
History,87,9,70,4
Science,54,11,68,1
History,66,19,84,3
English,75,18,65,2
Science,92,17,89,3
History,101,23,90,1
English,74,29,76,3
English,74,24,61,5
English,64,15,99,2
English,93,18,99,5
English,115,9,76,1
History,70,18,75,1
Math,91,14,88,5
History,92,19,94,5
Math,70,10,86,1
Math,98,8,63,5
History,116,21,93,5
English,80,28,88,3
Science,103,25,98,1
Science,98,16,61,2
Math,100,28,99,3
English,80,26,95,3
English,30,11,96,4
History,83,24,78,3
English,116,24,71,1
Science,36,6,67,1
History,67,27,99,1
Math,71,21,72,4
Math,82,17,61,4
Science,81,26,64,2
History,77,24,79,1
History,89,22,79,5
History,52,28,62,5
English,73,8,97,5
Science,72,5,70,3
History,103,9,79,5
History,64,9,90,4
History,32,17,72,4
English,70,15,64,4
Science,34,19,90,3
English,33,19,80,2
English,120,9,62,1
English,59,25,95,5
Science,109,5,87,5
Science,36,16,63,4
English,116,9,78,3
History,52,30,85,2
Math,50,28,74,4
History,70,10,94,4
Math,74,27,76,2
History,113,26,90,2
History,105,10,93,1
Science,78,27,90,2
History,93,25,86,2
History,44,25,80,5
English,92,18,71,1
History,94,26,94,1
Math,96,28,86,4
English,74,16,65,5
English,57,10,85,2
Math,58,9,71,2
Science,37,30,74,3
English,116,18,95,1
History,79,30,70,1
Math,102,11,75,1
English,49,14,96,1
Science,106,9,90,5
Science,81,8,94,4
English,115,30,90,3
English,88,11,98,1
History,34,15,88,3
English,90,8,91,5
History,115,6,68,2
Math,87,24,89,4
Science,41,26,84,1
History,56,23,65,3
Science,109,30,67,4
History,44,25,60,2
Math,80,25,76,5
Science,67,12,82,2
English,87,18,63,3
English,30,13,83,1
History,118,23,92,2
Math,47,8,72,3
Math,100,15,66,4
English,91,18,80,2
English,77,18,80,1
History,74,22,82,1
Science,118,6,74,1
History,113,5,87,2
History,65,6,73,1
English,108,30,70,2
History,41,22,92,4
History,71,30,95,5
Science,46,20,72,3
English,101,18,81,1
Science,61,30,68,2
Science,117,26,97,5
Science,56,6,71,4
History,84,7,93,1
English,113,22,98,1
English,36,5,80,1
Science,80,27,63,3
English,101,15,83,5
Science,91,28,81,5
Science,51,29,60,2
Math,67,5,73,5
Science,41,18,80,4
Math,61,16,100,2
Math,110,14,82,2
History,82,8,95,1
English,114,8,70,1
Math,74,7,63,5
English,93,9,81,1
English,73,28,67,4
Science,77,26,85,1
English,117,19,65,4
Math,89,19,70,2
Science,53,14,60,4
Science,98,11,60,5
History,43,19,77,1
English,43,16,86,1
History,119,24,91,4
History,112,14,95,5
Math,58,17,96,5
Math,36,27,95,4
Science,110,5,97,3
History,117,18,60,2
English,60,29,92,1
English,86,27,65,5
English,62,19,82,2
History,53,18,93,3
History,67,30,70,4
Math,33,19,92,1
English,65,23,91,2
English,92,24,90,3
Science,51,25,78,5
History,97,5,88,1
History,64,10,79,3
Science,48,17,68,1
Science,56,21,86,5
English,31,27,71,2
History,97,8,82,4
History,33,22,76,3
History,42,19,63,3
Math,80,19,61,5
History,60,17,64,5
Science,90,7,96,5
Science,43,16,65,1
Math,33,25,76,4
History,43,18,99,3
History,69,15,80,3
History,63,14,72,5
History,60,23,69,4
History,45,29,62,5
Math,61,23,81,2
English,79,25,97,4
History,38,17,85,4
English,90,12,92,4
Science,104,6,84,1
English,63,11,80,5
Math,88,5,63,2
English,71,7,80,3
Math,70,13,95,5
Math,62,22,84,3
Science,37,29,77,4
English,120,7,60,2
Math,78,28,80,3
English,35,18,97,5
History,117,25,72,3
English,33,21,64,4
Science,94,10,96,2
English,45,5,72,5
History,60,20,91,4
Math,99,23,88,5
History,97,8,81,1
History,43,6,62,3
Math,45,10,75,1
English,43,26,78,3
English,98,11,98,2
Math,61,21,63,5
History,55,21,76,5
Math,52,10,76,5
English,78,9,70,5
Math,115,27,95,3
Science,94,18,84,2
Math,105,10,93,1
Science,111,13,75,1
English,36,28,60,4
History,35,15,98,5
Science,71,19,83,5
English,45,13,62,2
History,89,14,79,5
History,72,27,63,2
Science,102,25,73,5
English,89,29,96,2
Science,66,24,67,2
Math,113,5,71,2
English,115,26,84,5
Math,50,28,73,4
Science,32,21,90,5
Math,82,9,78,4
History,82,30,75,2
Science,41,25,88,1
History,46,30,70,5
Science,119,15,65,5
Science,50,21,81,3
English,96,9,75,3
Science,48,30,95,3
English,36,20,66,3
Math,61,7,78,2
English,66,19,71,3
Science,75,14,83,2
Science,63,25,73,1
History,45,18,94,5
Math,97,26,67,4
Science,53,27,73,2
English,119,11,75,4
English,116,13,78,4
Science,40,23,93,1
English,102,8,66,3
History,41,25,72,4
History,82,29,86,1
Math,83,10,61,1
English,34,16,72,5
History,43,17,64,2
Math,51,5,83,2
English,65,19,83,1
English,51,6,92,2
Math,41,23,75,2
Science,48,10,91,1
Math,60,20,60,3
English,102,8,78,5
History,55,24,76,4
History,106,14,76,1
Science,51,18,87,2
History,46,21,95,1
English,37,7,83,1
Science,117,16,64,2
Science,39,20,96,2
English,82,20,77,5
Science,106,29,77,1
English,56,16,65,1
Science,119,23,76,3
English,85,10,71,2
History,89,13,96,1
Science,44,30,70,2
Math,33,13,64,3
English,51,29,100,5
English,110,20,86,5
Math,39,23,73,2
History,53,27,71,4
Science,59,12,61,2
English,35,18,93,5
Math,54,27,70,3
Science,53,21,67,1
Math,87,17,98,3
English,115,16,60,3
Math,57,25,66,4
English,68,11,80,4
English,96,8,100,1
English,75,6,63,1
Science,93,23,73,3
History,44,16,98,1
Math,73,7,78,4
Math,103,16,96,4
Science,107,26,86,3
History,46,25,92,2
Science,101,8,94,4
Math,94,12,98,2
Math,109,13,62,5
English,84,16,93,2
Science,109,15,79,5
Science,72,22,75,3
Science,103,26,97,4
Science,70,14,88,2
English,34,16,69,4
Science,84,5,93,4
Math,59,8,65,5
